dataset	degree_assort_best_users	degree_assort_worst_users	average_clustering_coef_dot_best_users	average_clustering_coef_dot_worst_users
1	-0.09928751356319915	-0.07419843311635409	0.035157825245212396	0.024841873521733195
2	-0.0452677018624418	0.04225059375233916	0.03932061751916706	0.034338309043307085
3	-0.03788533387348954	0.07621565929781635	0.05447300345236239	0.03089451478919651
4	-0.05769893909017391	0.040973099658273456	0.04089461158641291	0.023573414926732063
5	-0.08507082967295275	-0.008325473763858393	0.04699212942978038	0.023427137405508083
6	-0.07733937545802204	0.050950034498029276	0.045908492029978175	0.032663739300431996
7	-0.1345773149783971	-0.05816750051010856	0.03400182737503836	0.03207409782899478
8	-0.11782070175005807	-0.037600791971552965	0.04034447958837826	0.030746846717634307
9	-0.08034042727034653	-0.030416472035799478	0.045241416553565374	0.03613769527010371
10	0.005945964582012567	0.09080802204986141	0.04149102685756488	0.037106114991945875
11	-0.07644559002617875	-0.00223783149371731	0.03449230459960648	0.027488789722178143
12	-0.07278815327224164	-0.040262256208262834	0.03910035011447262	0.03268168101520763
13	-0.09212961684659637	0.1055475820619092	0.04971728249977689	0.025949318573226538
14	-0.1086419671003527	-0.07170057026036093	0.0396542039624537	0.034876230966176966
15	-0.10814739126944702	0.07259478043103271	0.03845081694158169	0.033146082889359316
16	-0.0334229051518729	0.016354651872000515	0.04643241255894588	0.03138770953245008
17	-0.09361917043554631	0.04488115366760445	0.04531236179335918	0.02683911298484243
18	-0.05441132451567332	0.1601330595342879	0.043346075907845234	0.02121049452386426
19	-0.10183164465740503	-0.013232876086891662	0.043572949387819915	0.034657582826487246
20	-0.08655431061677925	0.1442332475627792	0.05031789880861743	0.027333422789072172
21	-0.09800725786172723	0.08242836487953353	0.045609049473767094	0.021403906238867596
22	-0.1250635714343528	-0.02944408694077777	0.0394943179883062	0.03224535445421765
23	-0.0420141692501472	-0.009299384260729179	0.04398832734066267	0.03870926218949192
24	-0.09729180895928169	0.053704595387069703	0.05705571333535049	0.024865509015001813
25	-0.1190036703146754	0.006992719088127931	0.037495389743180285	0.026141447891948662
26	-0.04501387915337833	-0.002290021020869534	0.03959405193961828	0.030149403014433737
27	-0.0748981148662235	0.14304078950975355	0.054613855390470784	0.025873781140054602
28	-0.045759838489853905	-0.058008471966517004	0.03918296151434488	0.032006635741513016
29	-0.05993408034016076	-0.008656305819232938	0.04033840960972001	0.038845485063912735
30	-0.06496710474786845	0.0002779990597939763	0.045190192322459515	0.04095380516570931
31	-0.08325499855149385	0.06039014771210141	0.047551664220288496	0.02107994487318828
32	-0.09454665715085664	-0.03248649582087121	0.041239280039302335	0.034193333850216834
33	-0.0005089269520494127	-0.005382046479023658	0.044358268163869514	0.03302773242270983
34	-0.1373316971517345	-0.05593975194482736	0.03080172766319193	0.030179452288633685
35	-0.099363826381881	0.0346034470323803	0.047550400121361254	0.02472648836693735
36	-0.07193878413131598	-0.01937764185014427	0.05713538159677485	0.030678607365351603
37	-0.10535784746090046	0.012199188676830893	0.05125795284242383	0.025777940624419814
38	-0.08278269363486884	0.019471741498433507	0.03451459584956094	0.031382685266733684
39	-0.085828088537372	0.050428458052155706	0.044730419581831694	0.03035588426545447
40	-0.05950389645620783	-0.02496021922127189	0.04628047971327311	0.038787401455869994
41	-0.12322617495805376	0.04859030186983912	0.03403395814286094	0.03040435980953829
42	-0.013452744086158135	0.0683246433686683	0.048534555722926	0.02164504598814828
43	-0.039501743044447285	0.027314062607611368	0.04324247671989868	0.030998334735117202
44	-0.012078863749707448	-0.034035068195651996	0.04394246535345131	0.029367482151869996
45	-0.06982212380097517	-0.02839399585912284	0.04010365557795794	0.03530195925928423
46	-0.047475647225912465	0.04847291902509855	0.040245616609019035	0.038644989393244664
47	-0.1147942977212263	-0.005507580820791942	0.03170820570266126	0.031275200177927176
48	-0.08003727619485672	-0.09461245517518967	0.06452702292016883	0.042562861748921973
49	-0.07000921584493525	-0.036659176180443814	0.04274308653047055	0.041656386371246835
50	-0.04283133431839768	-0.04861003718922115	0.04436844633318053	0.03601356271152983
51	-0.11662207727047935	-0.0804074056343207	0.030719231371720043	0.026345163428479913
52	-0.0466461467878525	0.03287015430533573	0.04654276427526517	0.02916680440631096
53	-0.03499546605082937	-0.07106522751880533	0.04582117159185896	0.037295215604211944
54	-0.10065839525740986	0.04453215935912636	0.04911469171375339	0.027441801145384758
55	-0.05354455557864229	0.02865694951725483	0.04722344364685561	0.029303619099910843
56	-0.04917793158451221	0.01611312266104386	0.04668356169413409	0.0381108731194181
57	-0.11955315694749696	-0.05336376674076126	0.04121270780890986	0.03786302883834561
58	-0.15901395741574106	0.008654348049255215	0.03010790901395972	0.030383926236187863
59	-0.09532769994217072	0.02937976405559071	0.03910814116613862	0.031879197819209275
60	-0.10496425747962193	0.003254610824119442	0.03976145383066651	0.03489428981699957
61	-0.10241455331173	-0.06209367698459669	0.03162733309270502	0.02710899661815384
62	-0.11377636314632043	-0.030496792387864406	0.03613113146368834	0.023682543238290183
63	-0.12095515297174095	0.06858456623054175	0.055857100069944605	0.024577349839649047
64	-0.078335500059038	-0.07513255340134066	0.04099662168209071	0.02954257087235297
65	-0.07410431568113159	0.1357634893715035	0.040705388256690234	0.022431999976423762
66	-0.06515266128863237	-0.0007905171531513719	0.04953345846665163	0.027547785675599814
67	-0.07784707472876538	-0.0038167407131641812	0.044289009050280055	0.035053927365867335
68	-0.13139912091617703	-0.06324614554809803	0.030544138634500246	0.028956913878500554
69	-0.11942775539349755	-0.08082772667567116	0.031048007853205776	0.023322894651196767
70	-0.0843767197249356	-0.02826301779683737	0.04200600972136209	0.027475237348501855
71	-0.08090062219660187	0.03927134753022997	0.05183617978847366	0.02449702890541427
72	-0.12074945047256823	-0.05225439984561381	0.035133752369618326	0.031188502675434566
73	-0.044283972517393626	-0.029091512173909605	0.042331631545243484	0.03410079653892455
74	-0.05258407329017929	0.024823630424437935	0.042117226391926006	0.03618231659759538
75	-0.11008629635226178	-0.04532402649842082	0.03325142706012256	0.027032722246141665
76	-0.09269147373405134	0.041413262783180665	0.03777433851259388	0.03278252523793665
77	-0.09398831685657302	-0.017954164718692225	0.043213087729948335	0.03600491370739327
78	-0.08111953492899378	-0.01666522801575672	0.035772210695411075	0.03377575913087838
79	-0.1049817012392987	-0.07043446334129162	0.03574012944105537	0.032811615800334655
80	-0.1139041443900949	-0.004736023834781397	0.036102397872115874	0.03315205005912098
81	-0.06494593222372942	-0.023531072521513232	0.0449244316109537	0.03620396982530654
82	-0.07240268746452064	0.00930706479225659	0.04593832663463755	0.021443519899835152
83	0.020433737281710107	0.03332324037792159	0.054797465811834534	0.024900727350130117
84	-0.06126305071112799	0.014179968067310192	0.054222732319084636	0.03352130921862554
85	-0.09782001780163539	0.02427114674071921	0.04457465195714778	0.027116434610938156
86	-0.08428291217095453	9.904613628461314e-05	0.04738564157154903	0.028624282659255422
87	-0.08965431870528867	0.034806063602123356	0.05057955104656372	0.029183626365737212
88	-0.034087207884151004	-0.009191468220268372	0.03756183743931102	0.03162804431556444
89	-0.09966462269010257	-0.06688911868249936	0.0355681357502513	0.0271064129393607
90	-0.05978830246668712	0.03935762727556655	0.04449003820741824	0.03122549878197102
91	-0.027924178481078595	-0.022902045647594217	0.039546867031214634	0.03150188041059593
92	-0.10276945631220111	-0.17893391459240396	0.0388582245113217	0.025867689641177
93	-0.09662111844053384	0.1024419285940108	0.04579006001719785	0.029754027785203963
94	-0.05219891887491622	-0.017092987522696494	0.04543894637832206	0.035608733118300324
95	-0.1288157951616563	-0.018365585666484798	0.037831756432918744	0.028047152874428452
96	-0.0905296207529665	0.059853873020837625	0.047452539692566444	0.02866160869568039
97	-0.05743250592834339	-0.016620668440762702	0.05001323048756373	0.03800104438229131
98	-0.11698687524116874	-0.046242312119941203	0.035927898941302695	0.02998658173693295
99	-0.12717945013339155	-0.024097947046531547	0.03192613491636961	0.028109011942305806
100	-0.04564219631207314	0.13029777257911657	0.04635529128527366	0.0366824057797722
101	-0.10261708150214228	-0.03650863505188666	0.038468496068759836	0.03152996749261662
102	-0.10904208275102883	-0.15089405412568596	0.032302952928817116	0.028742002496165105
103	-0.06774695233193193	0.1338038825003022	0.043558918599144784	0.03619538686372931
104	-0.05310807932190442	0.0013802977599734088	0.049228043844343546	0.03901430933216697
105	-0.078156660290466	0.04206541799888631	0.0376705906054036	0.025935552727565776
106	-0.10503423302761716	-0.06542992597487257	0.04106313604227968	0.03101109252720939
107	-0.03474722967328689	-0.04273558118061031	0.03514580171712348	0.031178924048745775
108	-0.11803444346872435	-0.0795525586493135	0.034226733303966854	0.0261815459946793
109	-0.10642009021035113	0.026339680962322955	0.03845583184807674	0.024687650905408046
110	-0.027318657017225044	-0.01523289891793295	0.03800823245156496	0.03634671517823452
111	-0.07805916882452923	-0.02647355494113035	0.04205371945545543	0.036434099381341546
112	-0.08199423537492775	-0.04279092547052217	0.03392116348669153	0.02741216384693088
113	-0.06379631436637564	0.03502390841693315	0.04678164839442419	0.033609691282167925
114	-0.030847480456635556	0.0677258397514195	0.04792467919854579	0.032320343670888874
115	-0.10436831673958326	0.007930255196322853	0.04686874280010374	0.023526034377687976
116	-0.10387077316717763	0.015757726833950974	0.05142640005554696	0.02074724086976727
117	-0.09895138677498685	0.014236870493460712	0.05378002701827569	0.03141204974527287
118	-0.020377488452733558	0.05127257960849163	0.04587844660472602	0.04335600307604936
119	-0.11606536228417261	-0.06861278195644159	0.03899781231222362	0.03179142819590052
120	-0.09772143076955776	-0.002420672628499331	0.043333730435536434	0.023793413194163757
